created_at,text,Date,Time,Hour,Weekday,Type,Number,Location
2021-02-14T14:10:53Z,13 appointments available at Gillette Stadium on 02/15/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-14,2021-02-14T14:10:53Z,9,Sunday,Specific Location,13,Gillette Stadium
2021-02-14T13:10:08Z,172 appointments available at Greenfield Senior Center on 03/05/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-14,2021-02-14T13:10:08Z,8,Sunday,Specific Location,172,Greenfield Senior Center
2021-02-13T18:28:01Z,606 appointments available at Salemwood School on 02/20/2021. Check eligibility and sign up at https://t.co/4Jo8GKzYvp,2021-02-13,2021-02-13T18:28:01Z,13,Saturday,Specific Location,606,Salemwood School
2021-02-13T18:06:56Z,111 appointments available at Paxton Public Safety Complex  on 02/17/2021. Check eligibility and sign up at https://t.co/iSPJq0ZdZk,2021-02-13,2021-02-13T18:06:56Z,13,Saturday,Specific Location,111,Paxton Public Safety Complex 
2021-02-13T17:28:27Z,605 appointments available at Salemwood School on 02/20/2021. Check eligibility and sign up at https://t.co/4Jo8GKzYvp,2021-02-13,2021-02-13T17:28:27Z,12,Saturday,Specific Location,605,Salemwood School
2021-02-13T16:57:22Z,604 appointments available at Salemwood School on 02/20/2021. Check eligibility and sign up at https://t.co/4Jo8GKzYvp,2021-02-13,2021-02-13T16:57:22Z,11,Saturday,Specific Location,604,Salemwood School
2021-02-13T14:30:46Z,510 appointments available at DoubleTree Hotel - Danvers on 2/17/2021. Check eligibility and sign up at https://t.co/3Ts3bkgHJ7,2021-02-13,2021-02-13T14:30:46Z,9,Saturday,Specific Location,510,DoubleTree Hotel - Danvers
2021-02-13T14:29:31Z,285 appointments available at DoubleTree Hotel - Danvers on 2/16/2021. Check eligibility and sign up at https://t.co/3Ts3bkgHJ7,2021-02-13,2021-02-13T14:29:31Z,9,Saturday,Specific Location,285,DoubleTree Hotel - Danvers
2021-02-13T14:27:02Z,12 appointments available at Gillette Stadium on 02/14/2021. Check eligibility and sign up at https://t.co/i2eIYkyEpF,2021-02-13,2021-02-13T14:27:02Z,9,Saturday,Specific Location,12,Gillette Stadium
2021-02-13T13:25:28Z,101 appointments available at DoubleTree Hotel - Danvers on 2/15/2021. Check eligibility and sign up at https://t.co/3Ts3bkgHJ7,2021-02-13,2021-02-13T13:25:28Z,8,Saturday,Specific Location,101,DoubleTree Hotel - Danvers
2021-02-12T21:16:00Z,14 appointments available at Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center on 02/12/2021. Check eligibility and sign up at https://t.co/rKd6LNS7wT,2021-02-12,2021-02-12T21:16:00Z,16,Friday,Specific Location,14,Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center
2021-02-12T21:10:39Z,246 appointments available at Tree House Deerfield on 02/19/2021. Check eligibility and sign up at https://t.co/ViV46pzy7p,2021-02-12,2021-02-12T21:10:39Z,16,Friday,Specific Location,246,Tree House Deerfield
2021-02-12T21:02:40Z,246 appointments available at Tree House Deerfield on 02/18/2021. Check eligibility and sign up at https://t.co/ViV46pzy7p,2021-02-12,2021-02-12T21:02:40Z,16,Friday,Specific Location,246,Tree House Deerfield
2021-02-12T19:02:24Z,362 appointments available at Bristol Community College on 02/17/2021. Check eligibility and sign up at https://t.co/9xkXiqw7zU,2021-02-12,2021-02-12T19:02:24Z,14,Friday,Specific Location,362,Bristol Community College
2021-02-12T17:25:05Z,157 appointments available at Greenfield Senior Center on 02/24/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T17:25:05Z,12,Friday,Specific Location,157,Greenfield Senior Center
2021-02-12T16:57:47Z,840 appointments available at Orleans DPW on 02/17/2021. Check eligibility and sign up at https://t.co/P7kOCpAK2z,2021-02-12,2021-02-12T16:57:47Z,11,Friday,Specific Location,840,Orleans DPW
2021-02-12T16:56:29Z,120 appointments available at Greenfield Senior Center on 02/17/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T16:56:29Z,11,Friday,Specific Location,120,Greenfield Senior Center
2021-02-12T16:07:10Z,156 appointments available at Greenfield Senior Center on 02/24/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T16:07:10Z,11,Friday,Specific Location,156,Greenfield Senior Center
2021-02-12T15:08:44Z,169 appointments available at Greenfield Senior Center on 03/05/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T15:08:44Z,10,Friday,Specific Location,169,Greenfield Senior Center
2021-02-12T14:42:44Z,38 appointments available at Joseph P Keefe Technical High School on 02/13/2021. Check eligibility and sign up at https://t.co/XopRs1uuge,2021-02-12,2021-02-12T14:42:44Z,9,Friday,Specific Location,38,Joseph P Keefe Technical High School
2021-02-12T14:32:19Z,14 appointments available at Joseph P Keefe Technical High School on 02/13/2021. Check eligibility and sign up at https://t.co/XopRs1uuge,2021-02-12,2021-02-12T14:32:19Z,9,Friday,Specific Location,14,Joseph P Keefe Technical High School
2021-02-12T14:02:23Z,514 appointments available at Needham Public Health - Center at the Heights on 02/18/2021. Check eligibility and sign up at https://t.co/wrdveOWgo3,2021-02-12,2021-02-12T14:02:23Z,9,Friday,Specific Location,514,Needham Public Health - Center at the Heights
2021-02-12T14:01:05Z,507 appointments available at Needham Public Health - Center at the Heights on 02/16/2021. Check eligibility and sign up at https://t.co/wrdveOWgo3,2021-02-12,2021-02-12T14:01:05Z,9,Friday,Specific Location,507,Needham Public Health - Center at the Heights
2021-02-12T12:33:35Z,171 appointments available at Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center on 02/13/2021. Check eligibility and sign up at https://t.co/rKd6LNS7wT,2021-02-12,2021-02-12T12:33:35Z,7,Friday,Specific Location,171,Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center
2021-02-12T11:23:12Z,51 appointments available at Greenfield Senior Center on 02/12/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T11:23:12Z,6,Friday,Specific Location,51,Greenfield Senior Center
2021-02-12T04:32:57Z,173 appointments available at Greenfield Senior Center on 02/27/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T04:32:57Z,23,Friday,Specific Location,173,Greenfield Senior Center
2021-02-12T03:31:29Z,189 appointments available at Greenfield Senior Center on 03/12/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-12,2021-02-12T03:31:29Z,22,Friday,Specific Location,189,Greenfield Senior Center
2021-02-11T23:25:12Z,177 appointments available at Greenfield Senior Center on 03/02/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T23:25:12Z,18,Thursday,Specific Location,177,Greenfield Senior Center
2021-02-11T22:14:42Z,252 appointments available at Reggie Lewis State Track Athletic Ctr on 02/18/2021. Check eligibility and sign up at https://t.co/aiT4aLyU6S,2021-02-11,2021-02-11T22:14:42Z,17,Thursday,Specific Location,252,Reggie Lewis State Track Athletic Ctr
2021-02-11T22:13:23Z,250 appointments available at Reggie Lewis State Track Athletic Ctr on 02/17/2021. Check eligibility and sign up at https://t.co/aiT4aLyU6S,2021-02-11,2021-02-11T22:13:23Z,17,Thursday,Specific Location,250,Reggie Lewis State Track Athletic Ctr
2021-02-11T22:08:12Z,250 appointments available at Reggie Lewis State Track Athletic Ctr on 02/16/2021. Check eligibility and sign up at https://t.co/aiT4aLyU6S,2021-02-11,2021-02-11T22:08:12Z,17,Thursday,Specific Location,250,Reggie Lewis State Track Athletic Ctr
2021-02-11T22:04:18Z,187 appointments available at Greenfield Senior Center on 03/03/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T22:04:18Z,17,Thursday,Specific Location,187,Greenfield Senior Center
2021-02-11T22:04:18Z,147 appointments available at Reggie Lewis State Track Athletic Ctr on 02/13/2021. Check eligibility and sign up at https://t.co/aiT4aLyU6S,2021-02-11,2021-02-11T22:04:18Z,17,Thursday,Specific Location,147,Reggie Lewis State Track Athletic Ctr
2021-02-11T21:11:09Z,168 appointments available at Greenfield Senior Center on 03/05/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T21:11:09Z,16,Thursday,Specific Location,168,Greenfield Senior Center
2021-02-11T20:36:07Z,288 appointments available at Memorial Hall on 02/17/2021. Check eligibility and sign up at https://t.co/i6tdUxJDi9,2021-02-11,2021-02-11T20:36:07Z,15,Thursday,Specific Location,288,Memorial Hall
2021-02-11T20:23:13Z,1115 appointments available at Eastfield Mall - Springfield on 2/16/2021. Check eligibility and sign up at https://t.co/1Bnrdsbvd4,2021-02-11,2021-02-11T20:23:13Z,15,Thursday,Specific Location,1115,Eastfield Mall - Springfield
2021-02-11T20:18:04Z,264 appointments available at Greenfield Senior Center on 02/19/2021. Check eligibility and sign up at https://t.co/O0df0eP7SV,2021-02-11,2021-02-11T20:18:04Z,15,Thursday,Specific Location,264,Greenfield Senior Center
2021-02-11T20:15:30Z,11 appointments available at Lowell Senior Center on 02/20/2021. Check eligibility and sign up at https://t.co/YPYFipivsR,2021-02-11,2021-02-11T20:15:30Z,15,Thursday,Specific Location,11,Lowell Senior Center
